Name,ID,Domains,Notes,Attachments
ГАС Законотворчество,,"dumasoft.ru,lms.duma.gov.ru,sozd.duma.gov.ru,sozd.parliament.gov.ru",,
Сайт органа власти,,,,
ГАС Правовая статистика,,crimestat.ru,,
