Name,Domains,Notes,Attachments
Еврейская автономная область,"habstat.gks.ru,eao.sledcom.ru,khabkray.sledcom.ru,tu27.rosim.ru,to27.minjust.ru,eao.arbitr.ru,79.fsin.su,www.79.fsin.su,r79.fss.ru,79.mchs.gov.ru,www.79.mchs.gov.ru,79.mvd.ru,msch.79.mvd.ru,tu79.rosim.ru,birobidzhan.roskazna.ru,yev.ssrf.ru,leninsky.brb.sudrf.ru,os.brb.sudrf.ru,www.jewish-aut.izbirkom.ru,www.jewish_aut.izbirkom.ru,rpn.79.rospotrebnadzor.ru,r79.fssprus.ru,momvd.79.mvd.ru,movd.79.mvd.ru,79.rospotrebnadzor.ru,git79.rostrud.ru,79.rpn.gov.ru",,
Забайкальский край,"chita.arbitr.ru,75.fsin.su,www.75.fsin.su,r75.fss.ru,chita.gks.ru,75.mchs.gov.ru,www.75.mchs.gov.ru,to75.minjust.ru,15.zbk.msudrf.ru,56.zbk.msudrf.ru,67.zbk.msudrf.ru,75.mvd.ru,msch.75.mvd.ru,zbut.mvd.ru,ingoda.cht.sudrf.ru,chara.cht.sudrf.ru,centr.cht.sudrf.ru,borzya.cht.sudrf.ru,baley.cht.sudrf.ru,aginsky.abao.sudrf.ru,zab.ssrf.ru,zabaykalye.sledcom.ru,75.sledcom.ru,75.rospotrebnadzor.ru,chita.roskazna.ru,tu75.old.rosim.ru,tu75.rosim.ru,karymsk.cht.sudrf.ru,kira.cht.sudrf.ru,nerchinsk.cht.sudrf.ru,nerzav.cht.sudrf.ru,oblsud.cht.sudrf.ru,olov.cht.sudrf.ru,petrovskzab.cht.sudrf.ru,shilka.cht.sudrf.ru,sretensk.cht.sudrf.ru,zabaykalsk.cht.sudrf.ru,1.zbk.msudrf.ru,12.zbk.msudrf.ru,chsvu.mvd.ru,75.gosuslugi.ru,www.r75.fssprus.ru,r75.fssprus.ru,www.to75.rosreestr.ru,pda.www.to75.rosreestr.ru,ugadn75.tu.rostransnadzor.ru,git75.rostrud.ru,75.rpn.gov.ru,29.zbk.msudrf.ru,www.zabkray.izbirkom.ru,zabkray.izbirkom.ru,www.zabkray.vybory.izbirkom.ru",,
Ивановская область,"ivanovo.arbitr.ru,www.ivanovo.arbitr.ru,ivanovo.fas.gov.ru,37.fsin.su,www.37.fsin.su,ivanovo.gks.ru,ivanovo.izbirkom.ru,www.ivanovo.izbirkom.ru,37.mchs.gov.ru,www.37.mchs.gov.ru,to37.minjust.ru,frunz1.iwn.msudrf.ru,frunz2.iwn.msudrf.ru,frunz3.iwn.msudrf.ru,frunz4.iwn.msudrf.ru,kineshma2.iwn.msudrf.ru,novotal2.iwn.msudrf.ru,okt5.iwn.msudrf.ru,sov1.iwn.msudrf.ru,yur1.iwn.msudrf.ru,37.mvd.ru,tu33.rosim.ru,tu37.rosim.ru,tu37.old.rosim.ru,ivanovskaya.roskazna.ru,37.sledcom.ru,ivanovo.sledcom.ru,iva.ssrf.ru,yurjevetsky.iwn.sudrf.ru,yuzhsky.iwn.sudrf.ru,zavolzhsky.iwn.sudrf.ru,kineshemsky.iwn.sudrf.ru,komsomolsky.iwn.sudrf.ru,leninsky.iwn.sudrf.ru,lezhnevsky.iwn.sudrf.ru,oktyabrsky.iwn.sudrf.ru,privolzhsky.iwn.sudrf.ru,puchezhsky.iwn.sudrf.ru,rodnikovsky.iwn.sudrf.ru,shuisky.iwn.sudrf.ru,teikovsky.iwn.sudrf.ru,usd.iwn.sudrf.ru,furmanovsky.iwn.sudrf.ru,ivanovsky.iwn.sudrf.ru,www.ivanovo.vybory.izbirkom.ru",,
Иркутская область,"irkutsk.mid.ru,irkutskstat.gks.ru,irkutsk.arbitr.ru,irkutsky.irk.sudrf.ru,irkutsk.roskazna.ru,old.irkutsk.roskazna.ru,irkutsk.izbirkom.ru,www.irkutsk.izbirkom.ru,www.irkutsk.vybory.izbirkom.ru,38.fsin.su,www.38.fsin.su,r38.fss.ru,38.mchs.gov.ru,www.38.mchs.gov.ru,to38.minjust.ru,100.irk.msudrf.ru,12.irk.msudrf.ru,18.irk.msudrf.ru,2.irk.msudrf.ru,22.irk.msudrf.ru,3.irk.msudrf.ru,64.irk.msudrf.ru,38.mvd.ru,www.38.mvd.ru,88.irk.msudrf.ru,kirovsky.irk.sudrf.ru,leninsky.irk.sudrf.ru,kachugsky.irk.sudrf.ru,oblsud.irk.sudrf.ru,oktiabrsky.irk.sudrf.ru,sayansky.irk.sudrf.ru,sludiansky.irk.sudrf.ru,usd.irk.sudrf.ru,usolsky.irk.sudrf.ru,ust-kutsky.irk.sudrf.ru,zalarinsky.irk.sudrf.ru,angarsky.irk.sudrf.ru,bratski.irk.sudrf.ru,bratsky.irk.sudrf.ru,cheremhovsky.irk.sudrf.ru,tu38.rosim.ru,tu38.old.rosim.ru,38.sledcom.ru,irk.sledcom.ru,irk.ssrf.ru,31.irk.msudrf.ru",,
Кабардино-Балкарская Республика,"askb.arbitr.ru,kbr.fas.gov.ru,07.fsin.su,www.07.fsin.su,07.mchs.gov.ru,to07.minjust.ru,kbr.msudrf.ru,07.mvd.ru,msch.07.mvd.ru,tu07.rosim.ru,tu07.old.rosim.ru,kabardino-balkaria.roskazna.ru,07.rospotrebnadzor.ru,www.07.rospotrebnadzor.ru,07.sledcom.ru,kbr.sledcom.ru,kb.ssrf.ru,www.kabardin-balkar.izbirkom.ru,www.kabardin-balkar.vybory.izbirkom.ru",,
Калининградская область,"kaliningrad.arbitr.ru,koblt.customs.ru,r39.fss.ru,kaliningrad.gks.ru,kaliningrad.izbirkom.ru,www.kaliningrad.izbirkom.ru,39.mchs.gov.ru,www.39.mchs.gov.ru,to39.minjust.ru,bagrms1.kln.msudrf.ru,baltgms2.kln.msudrf.ru,centms1.kln.msudrf.ru,centms2.kln.msudrf.ru,centms3.kln.msudrf.ru,centms4.kln.msudrf.ru,centms5.kln.msudrf.ru,centms6.kln.msudrf.ru,gurms1.kln.msudrf.ru,lenms1.kln.msudrf.ru,lenms3.kln.msudrf.ru,lenms6.kln.msudrf.ru,kln.msudrf.ru,moskms1.kln.msudrf.ru,moskms2.kln.msudrf.ru,moskms3.kln.msudrf.ru,moskms4.kln.msudrf.ru,moskms5.kln.msudrf.ru,moskms6.kln.msudrf.ru,moskms7.kln.msudrf.ru,sovetms1.kln.msudrf.ru,sovetms2.kln.msudrf.ru,svetgms2.kln.msudrf.ru,svetlms.kln.msudrf.ru,39.mvd.ru,klif.univer.mvd.ru,msch.39.mvd.ru,tu39.rosim.ru,tu39.old.rosim.ru,kaliningrad.roskazna.ru,39.rospotrebnadzor.ru,39.sledcom.ru,kld.sledcom.ru,kgd.ssrf.ru,centralny.kln.sudrf.ru,leningradsky.kln.sudrf.ru,moskovsky.kln.sudrf.ru,nemansky.kln.sudrf.ru,oblsud.kln.sudrf.ru,polessky.kln.sudrf.ru,sovetsky.kln.sudrf.ru,usd.kln.sudrf.ru,zelenogradsky.kln.sudrf.ru,baltovs.kln.sudrf.ru,websbor.kaliningrad.gks.ru",,
Калужская область,"kirovsky.klg.sudrf.ru,oblsud.klg.sudrf.ru,suxinichsky.klg.sudrf.ru,usd.klg.sudrf.ru,dzerzhinsky.klg.sudrf.ru,kaluga.klg.sudrf.ru,10.klg.msudrf.ru,1.klg.msudrf.ru,11.klg.msudrf.ru,12.klg.msudrf.ru,kaluga.arbitr.ru,40.fsin.su,kalugastat.gks.ru,kaluga.izbirkom.ru,www.kaluga.izbirkom.ru,40.mchs.gov.ru,www.40.mchs.gov.ru,to40.minjust.ru,15.klg.msudrf.ru,16.klg.msudrf.ru,3.klg.msudrf.ru,4.klg.msudrf.ru,50.klg.msudrf.ru,51.klg.msudrf.ru,6.klg.msudrf.ru,7.klg.msudrf.ru,40.mvd.ru,msch.40.mvd.ru,tu40.rosim.ru,tu40.old.rosim.ru,kaluga.roskazna.ru,40.rospotrebnadzor.ru,40.sledcom.ru,kaluga.sledcom.ru,klu.ssrf.ru",,
Камчатский край,"kamchatka.arbitr.ru,kamchatka.fas.gov.ru,41.fsin.su,www.41.fsin.su,kamstat.gks.ru,www.kamchatka_krai.izbirkom.ru,41.mchs.gov.ru,www.41.mchs.gov.ru,to41.minjust.ru,1.kmch.msudrf.ru,3.kmch.msudrf.ru,7.kmch.msudrf.ru,41.mvd.ru,msch.41.mvd.ru,tu41.rosim.ru,tu41.old.rosim.ru,kamchatka.roskazna.ru,kamchatka.sledcom.ru,kam.ssrf.ru,oblsud.kam.sudrf.ru,p-kamchatsky.kam.sudrf.ru,sobolevsky.kam.sudrf.ru,penzhinsky.kor.sudrf.ru,oblsud.kor.sudrf.ru,35gvs.kam.sudrf.ru,24.kmch.msudrf.ru",,
Карачаево-Черкесская республика,"askchr.arbitr.ru,09.fsin.su,www.09.fsin.su,r09.fss.ru,09.mchs.gov.ru,www.09.mchs.gov.ru,to09.minjust.ru,09.mvd.ru,msh.09.mvd.ru,tu09.rosim.ru,karachaevocherkessia.roskazna.ru,09.rospotrebnadzor.ru,09.sledcom.ru,kchr.sledcom.ru,kc.ssrf.ru,adige-hablsky.kchr.sudrf.ru,cherkessky.kchr.sudrf.ru,urupsky.kchr.sudrf.ru,vs.kchr.sudrf.ru,www.karachaev-cherkess.izbirkom.ru",,
Кемеровская область,"kemerovo.arbitr.ru,kemerovo.fas.gov.ru,42.fsin.su,www.42.fsin.su,kemerovostat.gks.ru,service.kemerovostat.gks.ru,42.mchs.gov.ru,www.42.mchs.gov.ru,to42.minjust.ru,0611.kmr.msudrf.ru,0613.kmr.msudrf.ru,0615.kmr.msudrf.ru,0616.kmr.msudrf.ru,0621.kmr.msudrf.ru,0622.kmr.msudrf.ru,0624.kmr.msudrf.ru,0625.kmr.msudrf.ru,0631.kmr.msudrf.ru,0641.kmr.msudrf.ru,0642.kmr.msudrf.ru,0643.kmr.msudrf.ru,0644.kmr.msudrf.ru,0647.kmr.msudrf.ru,0651.kmr.msudrf.ru,0652.kmr.msudrf.ru,0655.kmr.msudrf.ru,0656.kmr.msudrf.ru,2201.kmr.msudrf.ru,42.mvd.ru,msh.42.mvd.ru,tu42.rosim.ru,0103.kmr.msudrf.ru,0203.kmr.msudrf.ru,0204.kmr.msudrf.ru,0206.kmr.msudrf.ru,0207.kmr.msudrf.ru,0302.kmr.msudrf.ru,0501.kmr.msudrf.ru,0703.kmr.msudrf.ru,0801.kmr.msudrf.ru,0803.kmr.msudrf.ru,belovskygor.kmr.sudrf.ru,centralniy.kmr.sudrf.ru,centralny.kmr.sudrf.ru,kaltansky.kmr.sudrf.ru,kemerovsky.kmr.sudrf.ru,leninsky.kmr.sudrf.ru,myskovsky.kmr.sudrf.ru,oblsud.kmr.sudrf.ru,osinnikovsky.kmr.sudrf.ru,rudnichniy.kmr.sudrf.ru,tashtagolsky.kmr.sudrf.ru,tiazhinsky.kmr.sudrf.ru,topkinsky.kmr.sudrf.ru,usd.kmr.sudrf.ru,yaisky.kmr.sudrf.ru,yurginsky.kmr.sudrf.ru,zavodskiy.kmr.sudrf.ru,zavodskoy.kmr.sudrf.ru,zenkovsky.kmr.sudrf.ru,1003.kmr.msudrf.ru,1002.kmr.msudrf.ru,r42.fss.ru,1903.kmr.msudrf.ru,2603.kmr.msudrf.ru,1101.kmr.msudrf.ru,1102.kmr.msudrf.ru,1232.kmr.msudrf.ru,1241.kmr.msudrf.ru,1242.kmr.msudrf.ru,1243.kmr.msudrf.ru,1244.kmr.msudrf.ru,1245.kmr.msudrf.ru,1246.kmr.msudrf.ru,1247.kmr.msudrf.ru,1251.kmr.msudrf.ru,1255.kmr.msudrf.ru,1263.kmr.msudrf.ru,1271.kmr.msudrf.ru,1274.kmr.msudrf.ru,1275.kmr.msudrf.ru,1281.kmr.msudrf.ru,1283.kmr.msudrf.ru,1284.kmr.msudrf.ru,1301.kmr.msudrf.ru,1302.kmr.msudrf.ru,14.lo.msudrf.ru,1521.kmr.msudrf.ru,1401.kmr.msudrf.ru,1522.kmr.msudrf.ru,1524.kmr.msudrf.ru,1526.kmr.msudrf.ru,1541.kmr.msudrf.ru,1591.kmr.msudrf.ru,1802.kmr.msudrf.ru,2501.kmr.msudrf.ru,2601.kmr.msudrf.ru,2602.kmr.msudrf.ru,3101.kmr.msudrf.ru,www.kemerovo.izbirkom.ru",,
