Name,Domains,Notes,Attachments
Кировская область,"kirov.arbitr.ru,www.kirov.arbitr.ru,kirov.fas.gov.ru,43.fsin.su,kipkr.fsin.su,www.43.fsin.su,www.kipkr.fsin.su,r43.fss.ru,kirovstat.gks.ru,kirov.izbirkom.ru,www.kirov.izbirkom.ru,43.mchs.gov.ru,to43.minjust.ru,13.kir.msudrf.ru,52.kir.msudrf.ru,59.kir.msudrf.ru,70.kir.msudrf.ru,43.mvd.ru,chepetsk.43.mvd.ru,kirov.43.mvd.ru,msch.43.mvd.ru,tu43.rosim.ru,tu43.old.rosim.ru,kirov.roskazna.ru,43.rospotrebnadzor.ru,www.43.rospotrebnadzor.ru,kirov.sledcom.ru,kir.ssrf.ru,kotelnichesky.kir.sudrf.ru,leninsky.kir.sudrf.ru,malmizhsky.kir.sudrf.ru,oktyabrsky.kir.sudrf.ru,slobodskoy.kir.sudrf.ru,uninsky.kir.sudrf.ru,usd.kir.sudrf.ru",,
Костромская область,"tu33.rosim.ru,kostroma.arbitr.ru,44.fsin.su,www.44.fsin.su,r44.fss.ru,kostroma.gks.ru,www.kostroma.izbirkom.ru,44.mchs.gov.ru,www.kostroma.meteorf.ru,to44.minjust.ru,1.kst.msudrf.ru,10.kst.msudrf.ru,11.kst.msudrf.ru,12.kst.msudrf.ru,13.kst.msudrf.ru,14.kst.msudrf.ru,15.kst.msudrf.ru,17.kst.msudrf.ru,18.kst.msudrf.ru,2.kst.msudrf.ru,3.kst.msudrf.ru,32.kst.msudrf.ru,36.kst.msudrf.ru,4.kst.msudrf.ru,5.kst.msudrf.ru,6.kst.msudrf.ru,7.kst.msudrf.ru,8.kst.msudrf.ru,9.kst.msudrf.ru,kst.msudrf.ru,44.mvd.ru,msch.44.mvd.ru,tu44.rosim.ru,tu44.old.rosim.ru,kostroma.roskazna.ru,44.sledcom.ru,kostroma.sledcom.ru,kos.ssrf.ru,34.kst.msudrf.ru,35.kst.msudrf.ru,42.kst.msudrf.ru,galichsky.kst.sudrf.ru,kadiysky.kst.sudrf.ru,kologrivsky.kst.sudrf.ru,kostromskoy.kst.sudrf.ru,makarievsky.kst.sudrf.ru,mezhevskoy.kst.sudrf.ru,nerehtsky.kst.sudrf.ru,oblsud.kst.sudrf.ru,pavinsky.kst.sudrf.ru,usd.kst.sudrf.ru,sverdlovsky.kst.sudrf.ru,leninsky.kst.sudrf.ru,dimitrovsky.kst.sudrf.ru,chuhlomsky.kst.sudrf.ru,24.kst.msudrf.ru,service.kostroma.gks.ru,sso.kostroma.gks.ru,29.kst.msudrf.ru,31.kst.msudrf.ru,www.12.kst.msudrf.ru,www.13.kst.msudrf.ru,www.14.kst.msudrf.ru,www.15.kst.msudrf.ru,www.17.kst.msudrf.ru,www.18.kst.msudrf.ru,16.kst.msudrf.ru,19.kst.msudrf.ru,20.kst.msudrf.ru,21.kst.msudrf.ru,22.kst.msudrf.ru,23.kst.msudrf.ru,25.kst.msudrf.ru,26.kst.msudrf.ru,27.kst.msudrf.ru,28.kst.msudrf.ru,30.kst.msudrf.ru,33.kst.msudrf.ru,37.kst.msudrf.ru,38.kst.msudrf.ru,40.kst.msudrf.ru,41.kst.msudrf.ru,43.kst.msudrf.ru,44.kst.msudrf.ru,45.kst.msudrf.ru,46.kst.msudrf.ru,47.kst.msudrf.ru,48.kst.msudrf.ru",,
Краснодарский край,"tu23.rosim.ru,krasnodar.arbitr.ru,krasnodar.fas.gov.ru,23.fsin.su,www.23.fsin.su,krsdstat.gks.ru,23.mchs.gov.ru,to23.minjust.ru,msud140.krd.msudrf.ru,msud240.krd.msudrf.ru,msud241.krd.msudrf.ru,msud242.krd.msudrf.ru,msud244.krd.msudrf.ru,msud25.krd.msudrf.ru,msud26.krd.msudrf.ru,msud29.krd.msudrf.ru,msud31.krd.msudrf.ru,msud39.krd.msudrf.ru,msud40.krd.msudrf.ru,msud41.krd.msudrf.ru,msud46.krd.msudrf.ru,msud49.krd.msudrf.ru,msud50.krd.msudrf.ru,msud51.krd.msudrf.ru,msud57.krd.msudrf.ru,msud63.krd.msudrf.ru,23.mvd.ru,kf.krdu.mvd.ru,krasnodar.23.mvd.ru,krdu.mvd.ru,msch.23.mvd.ru,nf.krdu.mvd.ru,nkf.krdu.mvd.ru,sochi.23.mvd.ru,tu23.old.rosim.ru,krasnodar.roskazna.ru,23.rospotrebnadzor.ru,23.sledcom.ru,kuban.sledcom.ru,kda.ssrf.ru,anapa.krd.sudrf.ru,anapa-gor.krd.sudrf.ru,apsheronsk.krd.sudrf.ru,armavir.krd.sudrf.ru,bruxovecky.krd.sudrf.ru,dinskoy.krd.sudrf.ru,eisk-gor.krd.sudrf.ru,gor-kluch.krd.sudrf.ru,gulkevichi.krd.sudrf.ru,gvs.krd.sudrf.ru,kanevskay.krd.sudrf.ru,kavkazsky.krd.sudrf.ru,korenovsk.krd.sudrf.ru,kraevoi.krd.sudrf.ru,krasnoarmeisk.krd.sudrf.ru,krasnodar-oktybrsky.krd.sudrf.ru,krasnodar-prikubansky.krd.sudrf.ru,krasnodar-sovetsky.krd.sudrf.ru,krimsk.krd.sudrf.ru,kurganinsk.krd.sudrf.ru,kushevskoy.krd.sudrf.ru,labins-gor.krd.sudrf.ru,labinsk.krd.sudrf.ru,leningradskay.krd.sudrf.ru,novokubansk.krd.sudrf.ru,otradnensky.krd.sudrf.ru,pavlovsky.krd.sudrf.ru,sherbinovsky.krd.sudrf.ru,slavynsk-gor.krd.sudrf.ru,slavynsky.krd.sudrf.ru,sochi-adler.krd.sudrf.ru,temruksky.krd.sudrf.ru,tuapse.krd.sudrf.ru,usd.krd.sudrf.ru,uspensky.krd.sudrf.ru,viselkovsky.krd.sudrf.ru,krasnodar.cikrf.ru,krasnodar.izbirkom.ru,www.krasnodar.izbirkom.ru,www.krasnodar.vybory.izbirkom.ru,krasnodar.mid.ru,kurgan.23.mvd.ru,krymsk.23.mvd.ru,msud103.krd.msudrf.ru,msud77.krd.msudrf.ru,msud78.krd.msudrf.ru,msud247.krd.msudrf.ru,abinsk.23.mvd.ru,anapa.23.mvd.ru,apsheronsk.23.mvd.ru,armavir.23.mvd.ru,msud102.krd.msudrf.ru,msud75.krd.msudrf.ru,msud79.krd.msudrf.ru,ucfps23.mchs.ru",,
Красноярский край,"krk.sledcom.ru,krasnoyarsk.arbitr.ru,krsk.fas.gov.ru,kras.favt.ru,24.fsin.su,www.24.fsin.su,r24.fss.ru,www.krasnoyarsk.izbirkom.ru,24.mchs.gov.ru,www.24.mchs.gov.ru,to24.minjust.ru,24.mvd.ru,krasnoyarsk.24.mvd.ru,msch.24.mvd.ru,www.24.mvd.ru,tu24.old.rosim.ru,krasnoyarsk.roskazna.ru,24.rospotrebnadzor.ru,www.24.rospotrebnadzor.ru,kya.ssrf.ru,dikson.dud.sudrf.ru,dudinsky.dud.sudrf.ru,hatanga.dud.sudrf.ru,karaul.dud.sudrf.ru,achinsk.krk.sudrf.ru,berez.krk.sudrf.ru,bogotol.krk.sudrf.ru,boguchan.krk.sudrf.ru,centr.krk.sudrf.ru,divnogorsk.krk.sudrf.ru,emel.krk.sudrf.ru,ermak.krk.sudrf.ru,geldor.krk.sudrf.ru,gelgor.krk.sudrf.ru,ilansk.krk.sudrf.ru,irbey.krk.sudrf.ru,kanskgor.krk.sudrf.ru,kirovsk.krk.sudrf.ru,kraevoy.krk.sudrf.ru,kuragino.krk.sudrf.ru,lenins.krk.sudrf.ru,lesosib.krk.sudrf.ru,minusa.krk.sudrf.ru,murta.krk.sudrf.ru,norilsk.krk.sudrf.ru,oktyabr.krk.sudrf.ru,shargor.krk.sudrf.ru,sovet.krk.sudrf.ru,sverdl.krk.sudrf.ru,taseevo.krk.sudrf.ru,ujur.krk.sudrf.ru,usd.krk.sudrf.ru,zelen.krk.sudrf.ru,kuragino.24.mvd.ru,lesosib.24.mvd.ru,minusinsk.24.mvd.ru,krasnoturansk.24.mvd.ru,kazachinskii.24.mvd.ru,kansk.24.mvd.ru,irbey.24.mvd.ru,aban.24.mvd.ru,achinsk.24.mvd.ru,balahta.24.mvd.ru,bogotol.24.mvd.ru,borodino.24.mvd.ru,emelyanovo.24.mvd.ru,enis.24.mvd.ru,nazarovo.24.mvd.ru,norilsk.24.mvd.ru,sharypovo.24.mvd.ru,shushenskoe.24.mvd.ru,taimur.24.mvd.ru,uyar.24.mvd.ru,zelenogorsk.24.mvd.ru,zheleznogorsk.24.mvd.ru,www.to24.rosreestr.ru,ugadn241719.tu.rostransnadzor.ru,git24.rostrud.ru,24reg.roszdravnadzor.ru,24.sledcom.ru,r24.fssprus.ru,www.r24.fssprus.ru,www.krasstat.gks.ru,web.krasstat.gks.ru",,
Курганская область,"kurgan.arbitr.ru,kurgan.fas.gov.ru,45.fsin.su,www.45.fsin.su,tu74.rosim.ru,sverdl.gks.ru,kurgan.izbirkom.ru,www.kurgan.izbirkom.ru,45.mchs.gov.ru,to45.minjust.ru,11.krg.msudrf.ru,13.krg.msudrf.ru,15.krg.msudrf.ru,27.krg.msudrf.ru,37.krg.msudrf.ru,39.krg.msudrf.ru,40.krg.msudrf.ru,42.krg.msudrf.ru,43.krg.msudrf.ru,46.krg.msudrf.ru,47.krg.msudrf.ru,tu45.old.rosim.ru,kurgan.roskazna.ru,45.rospotrebnadzor.ru,www.45.rospotrebnadzor.ru,45.sledcom.ru,kurgan.sledcom.ru,kgn.ssrf.ru,belozersky.krg.sudrf.ru,celinny.krg.sudrf.ru,kargapolsky.krg.sudrf.ru,kataysky.krg.sudrf.ru,kurgansky.krg.sudrf.ru,petuhovsky.krg.sudrf.ru,schuchansky.krg.sudrf.ru,50.krg.msudrf.ru,45.mvd.ru,tu45.rosim.ru,kurganstat.gks.ru",,
Курская область,"kursk.arbitr.ru,46.fsin.su,r46.fss.ru,kurskstat.gks.ru,www.kursk.izbirkom.ru,46.mchs.gov.ru,www.46.mchs.gov.ru,to46.minjust.ru,centr-kursk3.krs.msudrf.ru,zheleznogorsk5.krs.msudrf.ru,46.mvd.ru,kursk-gorod.46.mvd.ru,kurskiy.46.mvd.ru,msch.46.mvd.ru,uvm.46.mvd.ru,tu31.rosim.ru,tu46.rosim.ru,tu31.old.rosim.ru,kursk.roskazna.ru,46.rospotrebnadzor.ru,46.sledcom.ru,kursk.sledcom.ru,krs.ssrf.ru,kirovsky.krs.sudrf.ru,konyshevsky.krs.sudrf.ru,korenevsky.krs.sudrf.ru,kursky.krs.sudrf.ru,lgovsky.krs.sudrf.ru,manturovsky.krs.sudrf.ru,oblsud.krs.sudrf.ru,oboyansky.krs.sudrf.ru,oktiabrsky.krs.sudrf.ru,ponyrovsky.krs.sudrf.ru,pristensky.krs.sudrf.ru,timsky.krs.sudrf.ru,usd.krs.sudrf.ru",,
Ленинградская область,"www.spb.arbitr.ru,78.fsin.su,www.78.fsin.su,petrostat.gks.ru,47.mchs.gov.ru,www.47.mchs.gov.ru,to47.minjust.ru,15.lo.msudrf.ru,17.lo.msudrf.ru,19.lo.msudrf.ru,24.lo.msudrf.ru,25.lo.msudrf.ru,30.lo.msudrf.ru,34.lo.msudrf.ru,len.ssrf.ru,38.lo.msudrf.ru,39.lo.msudrf.ru,42.lo.msudrf.ru,44.lo.msudrf.ru,47.lo.msudrf.ru,51.lo.msudrf.ru,52.lo.msudrf.ru,58.lo.msudrf.ru,60.lo.msudrf.ru,64.lo.msudrf.ru,66.lo.msudrf.ru,70.lo.msudrf.ru,71.lo.msudrf.ru,72.lo.msudrf.ru,74.lo.msudrf.ru,75.lo.msudrf.ru,76.lo.msudrf.ru,80.lo.msudrf.ru,9.lo.msudrf.ru,msud175.krd.msudrf.ru,78.mvd.ru,gatchina.78.mvd.ru,kingisepp.78.mvd.ru,kirishi.78.mvd.ru,kirovsk.78.mvd.ru,leningradskii.23.mvd.ru,lodpole.78.mvd.ru,lomonosov.78.mvd.ru,msh.78.mvd.ru,luga.78.mvd.ru,podpor.78.mvd.ru,priozersk.78.mvd.ru,slanzi.78.mvd.ru,sosn.78.mvd.ru,tihvin.78.mvd.ru,tosno.78.mvd.ru,volhov.78.mvd.ru,volosovo.78.mvd.ru,vsevolozhsk.78.mvd.ru,vyborglo.78.mvd.ru,tu47.rosim.ru,tu47.old.rosim.ru,leningrad.roskazna.ru,47.rospotrebnadzor.ru,lenobl.sledcom.ru,tu78.rosim.ru,kingisepp.lo.sudrf.ru,gatchinsky.lo.sudrf.ru,kirishsky.lo.sudrf.ru,lugasud.lo.sudrf.ru,oblsud.lo.sudrf.ru,slancevsky.lo.sudrf.ru,tosnensky.lo.sudrf.ru,volhovsky.lo.sudrf.ru,vsevgorsud.lo.sudrf.ru,vyborgsky.lo.sudrf.ru,vsev.lo.78.mvd.ru,kir.lo.78.mvd.ru,kirish.lo.78.mvd.ru,king.lo.78.mvd.ru,gtn.lo.78.mvd.ru,leningrad-reg.izbirkom.ru,www.leningrad-reg.izbirkom.ru",,
Липецкая область,"lipetsk.arbitr.ru,lipetsk.fas.gov.ru,www.48.fsin.su,r48.fss.ru,lipstat.gks.ru,lipetsk.izbirkom.ru,www.lipetsk.izbirkom.ru,48.mchs.gov.ru,www.48.mchs.gov.ru,to48.minjust.ru,48.mvd.ru,msh.48.mvd.ru,tu48.rosim.ru,tu48.old.rosim.ru,lipetsk.roskazna.ru,48.rospotrebnadzor.ru,www.48.rospotrebnadzor.ru,48.sledcom.ru,lipetsk.sledcom.ru,lip.ssrf.ru,chapligsud.lpk.sudrf.ru,grjazsud.lpk.sudrf.ru,lebedsud.lpk.sudrf.ru,levsud.lpk.sudrf.ru,lipraisud.lpk.sudrf.ru,oblsud.lpk.sudrf.ru,octsud.lpk.sudrf.ru,pravsud.lpk.sudrf.ru,sovetsud.lpk.sudrf.ru,terbunsud.lpk.sudrf.ru,usd.lpk.sudrf.ru,usmansud.lpk.sudrf.ru,tu68.rosim.ru,sovetsk16.lpk.msudrf.ru",,
Магаданская область,"magadan.arbitr.ru,magadan.fas.gov.ru,www.49.fsin.su,habstat.gks.ru,www.magadan.izbirkom.ru,49.mchs.gov.ru,to49.minjust.ru,1.mag.msudrf.ru,2.mag.msudrf.ru,6.mag.msudrf.ru,49.mvd.ru,msh.49.mvd.ru,tu49.rosim.ru,magadan.roskazna.ru,49.rospotrebnadzor.ru,49.sledcom.ru,magadan.sledcom.ru,mag.ssrf.ru,magadansky.mag.sudrf.ru,oblsud.mag.sudrf.ru",,
Москва,"77.fsin.su,www.77.fsin.su,r77.fss.ru,r77.fssprus.ru,www.77.gibdd.ru,to77.minjust.ru,77.mvd.ru,cao.77.mvd.ru,gsu.77.mvd.ru,kunc.77.mvd.ru,med.77.mvd.ru,metro.77.mvd.ru,omon.77.mvd.ru,sao.77.mvd.ru,svao.77.mvd.ru,szao.77.mvd.ru,tinao.77.mvd.ru,uao.77.mvd.ru,ueb.77.mvd.ru,uvao.77.mvd.ru,uzao.77.mvd.ru,vao.77.mvd.ru,zao.77.mvd.ru,zel.77.mvd.ru,zhensovet.77.mvd.ru,tu77.rosim.ru,tu77.old.rosim.ru,77.rospotrebnadzor.ru,ugadn77.tu.rostransnadzor.ru,git77.rostrud.ru,www.git77.rostrud.ru,www.reg77.roszdravnadzor.ru,77.rpn.gov.ru,cao.msk.mvd.ru,gsu.msk.mvd.ru,msk.mvd.ru,sao.msk.mvd.ru,svao.msk.mvd.ru,szao.msk.mvd.ru,tinao.msk.mvd.ru,zel.msk.mvd.ru,zao.msk.mvd.ru,vao.msk.mvd.ru,uzao.msk.mvd.ru,uvao.msk.mvd.ru,ueb.msk.mvd.ru,uao.msk.mvd.ru,www.fasmo.arbitr.ru,moskovskygvs.msk.sudrf.ru,msvu.mil.ru,mvmu.mil.ru,mpku.rosgvard.ru,mosu.mvd.ru,metro.msk.mvd.ru,235gvs.msk.sudrf.ru,94gvs.msk.sudrf.ru,babushky.msk.sudrf.ru,basmanny.msk.sudrf.ru,butyrsky.msk.sudrf.ru,cheremushinsky.msk.sudrf.ru,chertanovsky.msk.sudrf.ru,dorogomilovsky.msk.sudrf.ru,gagarinsky.msk.sudrf.ru,golovinsky.msk.sudrf.ru,hamovnichesky.msk.sudrf.ru,horoshevsky.msk.sudrf.ru,izmailovsky.msk.sudrf.ru,koptevsky.msk.sudrf.ru,kuncevsky.msk.sudrf.ru,kuzminsky.msk.sudrf.ru,lefortovsky.msk.sudrf.ru,lublinsky.msk.sudrf.ru,meshansky.msk.sudrf.ru,nagatinsky.msk.sudrf.ru,nikulinsky.msk.sudrf.ru,ostankinsky.msk.sudrf.ru,perovsky.msk.sudrf.ru,preobrazhensky.msk.sudrf.ru,presnensky.msk.sudrf.ru,savelovsky.msk.sudrf.ru,simonovsky.msk.sudrf.ru,solncevsky.msk.sudrf.ru,tagansky.msk.sudrf.ru,timiryazevsky.msk.sudrf.ru,tushinsky.msk.sudrf.ru,tverskoy.msk.sudrf.ru,usd.msk.sudrf.ru,zamoskvoretsky.msk.sudrf.ru,zelenogradsky.msk.sudrf.ru,zuzinsky.msk.sudrf.ru,sud.nao.sudrf.ru,ardatovsky.nnov.sudrf.ru,borsky.nnov.sudrf.ru,buturlinsky.nnov.sudrf.ru,itc.fas.gov.ru,csp.dt.mvd.ru,fgupusz.mcx.ru,www.fgupusz.mcx.ru,77.gosuslugi.ru,77reg.roszdravnadzor.ru,www.msk.arbitr.ru,a.mvd.ru,moscow.mchs.ru,moscow-city.izbirkom.ru,www.moscow-city.izbirkom.ru",,
Московская область,"taldom.50.mvd.ru,asmo.arbitr.ru,www.asmo.arbitr.ru,www.fasmo.arbitr.ru,mot.customs.ru,mo.fas.gov.ru,moscow.fas.gov.ru,50.fsin.su,www.50.fsin.su,50.mchs.gov.ru,105.mo.msudrf.ru,111.mo.msudrf.ru,114.mo.msudrf.ru,115.mo.msudrf.ru,117.mo.msudrf.ru,12.mo.msudrf.ru,125.mo.msudrf.ru,130.mo.msudrf.ru,131.mo.msudrf.ru,137.mo.msudrf.ru,14.mo.msudrf.ru,142.mo.msudrf.ru,143.mo.msudrf.ru,144.mo.msudrf.ru,149.mo.msudrf.ru,153.mo.msudrf.ru,157.mo.msudrf.ru,158.mo.msudrf.ru,16.mo.msudrf.ru,170.mo.msudrf.ru,19.mo.msudrf.ru,195.mo.msudrf.ru,204.mo.msudrf.ru,205.mo.msudrf.ru,21.mo.msudrf.ru,210.mo.msudrf.ru,211.mo.msudrf.ru,214.mo.msudrf.ru,220.mo.msudrf.ru,222.mo.msudrf.ru,223.mo.msudrf.ru,224.mo.msudrf.ru,232.mo.msudrf.ru,235.mo.msudrf.ru,238.mo.msudrf.ru,24.mo.msudrf.ru,244.mo.msudrf.ru,246.mo.msudrf.ru,263.mo.msudrf.ru,264.mo.msudrf.ru,268.mo.msudrf.ru,276.mo.msudrf.ru,277.mo.msudrf.ru,278.mo.msudrf.ru,280.mo.msudrf.ru,285.mo.msudrf.ru,29.mo.msudrf.ru,291.mo.msudrf.ru,294.mo.msudrf.ru,295.mo.msudrf.ru,302.mo.msudrf.ru,304.mo.msudrf.ru,308.mo.msudrf.ru,309.mo.msudrf.ru,319.mo.msudrf.ru,33.mo.msudrf.ru,331.mo.msudrf.ru,34.mo.msudrf.ru,35.mo.msudrf.ru,38.mo.msudrf.ru,4.mo.msudrf.ru,45.mo.msudrf.ru,48.mo.msudrf.ru,49.mo.msudrf.ru,6.mo.msudrf.ru,62.mo.msudrf.ru,77.mo.msudrf.ru,87.mo.msudrf.ru,94.mo.msudrf.ru,96.mo.msudrf.ru,97.mo.msudrf.ru,99.mo.msudrf.ru,to50.minjust.ru,dmitrov.mo.sudrf.ru,domodedovo.mo.sudrf.ru,dubna.mo.sudrf.ru,himki.mo.sudrf.ru,ivanteevka.mo.sudrf.ru,kashira.mo.sudrf.ru,klimovsk.mo.sudrf.ru,klin.mo.sudrf.ru,korolev.mo.sudrf.ru,litkarino.mo.sudrf.ru,lobnia.mo.sudrf.ru,luhovitsy.mo.sudrf.ru,mitishy.mo.sudrf.ru,odintsovo.mo.sudrf.ru,orehovo-zuevo.mo.sudrf.ru,pavlov-posad.mo.sudrf.ru,podolsky.mo.sudrf.ru,ramenskoe.mo.sudrf.ru,ruza.mo.sudrf.ru,sergiev-posad.mo.sudrf.ru,shatura.mo.sudrf.ru,shelkovo.mo.sudrf.ru,stupino.mo.sudrf.ru,usd.mo.sudrf.ru,vidnoe.mo.sudrf.ru,volokolamsk.mo.sudrf.ru,voskresensk.mo.sudrf.ru,zaraisk.mo.sudrf.ru,zhukovsk.mo.sudrf.ru,zvenigorod.mo.sudrf.ru,mos.ssrf.ru,mosobl.sledcom.ru,50.rospotrebnadzor.ru,mo.roskazna.ru,tu50.old.rosim.ru,tu50.rosim.ru,uvm.50.mvd.ru,mof.mosu.mvd.ru,50.mvd.ru,med.50.mvd.ru,nfgvs.mo.sudrf.ru,kgvs.mo.sudrf.ru,77reg.roszdravnadzor.ru,baikonur.50.mvd.ru,balashikha.50.mvd.ru,chekhov.50.mvd.ru,dmitrov.50.mvd.ru,domodedovo.50.mvd.ru,egoryevsk.50.mvd.ru,elektrostal.50.mvd.ru,kashira.50.mvd.ru,khimki.50.mvd.ru,kolomna.50.mvd.ru,klin.50.mvd.ru,istra.50.mvd.ru,dubna.50.mvd.ru,50.dev.mvd.ru,korolev.50.mvd.ru,krasnogorsk.50.mvd.ru,leninskiy.50.mvd.ru,lobnya.50.mvd.ru,lotoshino.50.mvd.ru,lubertsy.50.mvd.ru,lukhovitsy.50.mvd.ru,mozhaysk.50.mvd.ru,mytischi.50.mvd.ru,naro-fominsk.50.mvd.ru,noginsk.50.mvd.ru,o-zuevo.50.mvd.ru,odintsovo.50.mvd.ru,ozery.50.mvd.ru,podolsk.50.mvd.ru,pposad.50.mvd.ru,profsouz.50.mvd.ru,protvino.50.mvd.ru,pushkino.50.mvd.ru,ramenskoe.50.mvd.ru,ruza.50.mvd.ru,s-posad.50.mvd.ru,s-prudy.50.mvd.ru,serpukhov.50.mvd.ru,shakhovskaya.50.mvd.ru,shatura.50.mvd.ru,shelkovo.50.mvd.ru,solnechnogorsk.50.mvd.ru,stupino.50.mvd.ru,vlasikha.50.mvd.ru,volokolamsk.50.mvd.ru,voskresensk.50.mvd.ru,zaraysk.50.mvd.ru,zhukovskiy.50.mvd.ru,gate.ufk50.roskazna.ru,ufk50.roskazna.ru,www.to50.rosreestr.ru,ugadn50.tu.rostransnadzor.ru,git50.rostrud.ru,50reg.roszdravnadzor.ru,mos.vkks.ru,mos.gosnadzor.ru,moscow-reg.izbirkom.ru,moscow_reg.izbirkom.ru,www.moscow_reg.izbirkom.ru",,
Мурманская область,"murmansk.arbitr.ru,51.fsin.su,www.51.fsin.su,r51.fss.ru,murmanskstat.gks.ru,murmansk.izbirkom.ru,www.murmansk.izbirkom.ru,51.mchs.gov.ru,www.51.mchs.gov.ru,to51.minjust.ru,1oct.mrm.msudrf.ru,2pvm.mrm.msudrf.ru,6pvm.mrm.msudrf.ru,51.mvd.ru,tu51.rosim.ru,murmansk.roskazna.ru,51.rospotrebnadzor.ru,51.sledcom.ru,murmansk.sledcom.ru,mur.ssrf.ru,apa.mrm.sudrf.ru,kola.mrm.sudrf.ru,kovd.mrm.sudrf.ru,lov.mrm.sudrf.ru,oblsud.mrm.sudrf.ru,ole.mrm.sudrf.ru,pech.mrm.sudrf.ru,perv.mrm.sudrf.ru,pol.mrm.sudrf.ru,usd.mrm.sudrf.ru,okt--mrm.sudrf.ru,perv--mrm.sudrf.ru,1krv.mrm.msudrf.ru,2krv.mrm.msudrf.ru,severnyfvs.mrm.sudrf.ru,ostrovgvs.mrm.sudrf.ru,tu51.old.rosim.ru,1ap.mrm.msudrf.ru,1svm.mrm.msudrf.ru,2pch.mrm.msudrf.ru,2svm.mrm.msudrf.ru,3ap.mrm.msudrf.ru,pzr.mrm.msudrf.ru",,
Ненецкий автономный округ,"arhangelskstat.gks.ru,usd.arh.sudrf.ru,29.sledcom.ru,arh.sledcom.ru,tu29.old.rosim.ru,tu29.rosim.ru,www.nenetsk.izbirkom.ru,83.mchs.gov.ru,www.83.mchs.gov.ru,1nao.arh.msudrf.ru,2nao.arh.msudrf.ru,83.mvd.ru,msh.83.mvd.ru,tu83.rosim.ru,nen.ssrf.ru",,
Нижегородская область,"mosk4.nnov.msudrf.ru,nnov.arbitr.ru,n-novgorod.fas.gov.ru,52.fsin.su,www.52.fsin.su,volodarsky.nnov.sudrf.ru,vachsky.nnov.sudrf.ru,usd.nnov.sudrf.ru,urensky.nnov.sudrf.ru,sosnovsky.nnov.sudrf.ru,nizhstat.gks.ru,nnov.izbirkom.ru,www.nnov.izbirkom.ru,52.mchs.gov.ru,arz6.nnov.msudrf.ru,www.52.mchs.gov.ru,avtoz1.nnov.msudrf.ru,avtoz11.nnov.msudrf.ru,avtoz12.nnov.msudrf.ru,avtoz13.nnov.msudrf.ru,avtoz2.nnov.msudrf.ru,avtoz3.nnov.msudrf.ru,avtoz4.nnov.msudrf.ru,avtoz5.nnov.msudrf.ru,avtoz6.nnov.msudrf.ru,avtoz7.nnov.msudrf.ru,avtoz8.nnov.msudrf.ru,balah4.nnov.msudrf.ru,chkal2.nnov.msudrf.ru,dzer11.nnov.msudrf.ru,dzer13.nnov.msudrf.ru,dzer2.nnov.msudrf.ru,dzer3.nnov.msudrf.ru,dzer4.nnov.msudrf.ru,dzer6.nnov.msudrf.ru,dzer9.nnov.msudrf.ru,kanav3.nnov.msudrf.ru,kanav6.nnov.msudrf.ru,kanav8.nnov.msudrf.ru,kstovo1.nnov.msudrf.ru,kstovo2.nnov.msudrf.ru,kstovo3.nnov.msudrf.ru,kstovo4.nnov.msudrf.ru,kstovo5.nnov.msudrf.ru,kuleb3.nnov.msudrf.ru,lenin2.nnov.msudrf.ru,gorod5.nnov.msudrf.ru,kanav1.nnov.msudrf.ru,nizh1.nnov.msudrf.ru,nizh2.nnov.msudrf.ru,nizh3.nnov.msudrf.ru,nizh4.nnov.msudrf.ru,nizh7.nnov.msudrf.ru,priok1.nnov.msudrf.ru,priok2.nnov.msudrf.ru,priok4.nnov.msudrf.ru,priok5.nnov.msudrf.ru,semen1.nnov.msudrf.ru,sormov1.nnov.msudrf.ru,sormov5.nnov.msudrf.ru,sovet1.nnov.msudrf.ru,sovet2.nnov.msudrf.ru,sovet4.nnov.msudrf.ru,sovet7.nnov.msudrf.ru,voskr.nnov.msudrf.ru,vyksa1.nnov.msudrf.ru,vyksa3.nnov.msudrf.ru,52.mvd.ru,shah2.nnov.msudrf.ru,na.mvd.ru,tu52.rosim.ru,tu52.old.rosim.ru,nizhegorodskaya.roskazna.ru,52.rospotrebnadzor.ru,www.52.rospotrebnadzor.ru,52.sledcom.ru,nnovgorod.sledcom.ru,niz.ssrf.ru,chkalovsky.nnov.sudrf.ru,diveevsky.nnov.sudrf.ru,dzerginsky.nnov.sudrf.ru,gorodecsky.nnov.sudrf.ru,koverninsky.nnov.sudrf.ru,kr-bakovsky.nnov.sudrf.ru,kulebaksky.nnov.sudrf.ru,lukoyanovsky.nnov.sudrf.ru,nizegorodsky.nnov.sudrf.ru,oblsud.nnov.sudrf.ru,sarovsky.nnov.sudrf.ru,semenovsky.nnov.sudrf.ru,vadsky.nnov.sudrf.ru,viksunsky.nnov.sudrf.ru,prioksky.nnov.sudrf.ru,kanavinsky.nnov.sudrf.ru,to52.minjust.ru",,
