Domain,Primary domain,Name,Domain type,Organization,Status,Region,GovSystem,HTTP Support,HTTPS Support,Statuscode,Is archived,Archives,Archive priority,Archive Strategy,ASN,ASN Country code,IPs,GovType
18.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
23.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
25.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
27.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
29.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,Архангельская область,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
30.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
33.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
34.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
42.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
45.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
48.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
49.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
51.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
52.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
55.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
57.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
59.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
65.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
66.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
70.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
71.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
74.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
78.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Неактивен,Санкт-Петербург,,Нет,Нет,,,,Не архивируется,,44560,RU,194.8.71.222,Федеральная исполнительная власть
83.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
86.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
89.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
check.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,,,,Нет,Да,,,,,,44560,RU,194.8.71.197,Федеральная исполнительная власть
deti.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Неактивен,,,Нет,Нет,,,,,,,,,Федеральная исполнительная власть
eaisto.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,,,,Нет,Нет,,,,,,209030,RU,82.202.189.88,Федеральная исполнительная власть
old2.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Неактивен,,,Нет,Нет,,,,,,,,,Федеральная исполнительная власть
stat.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,,,,Да,Нет,200,,,,,209030,RU,82.202.189.87,Федеральная исполнительная власть
svc.76.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Неактивен,,,Нет,Нет,,,,,,,,,Федеральная исполнительная власть
tt.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Неактивен,,,Нет,Нет,,,,,,,,,Федеральная исполнительная власть
www.11.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
www.28.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
www.56.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
www.72.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
www.77.gibdd.ru,,,Сайт территориального управления ФОИВ,МВД России,Перенаправляет,Москва,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
www.gibdd.ru,,,Сайт подразделения при органе власти,МВД России,Перенаправляет,,,Нет,Нет,,,,,,44560,RU,194.8.71.222,Федеральная исполнительная власть
www.gisp.gov.ru,,ГИСП,Сайт государственной информационной системы,Минпромторг России,,,Государственная информационная система промышленности,Да,Да,200,,,,,197068,RU,178.248.236.2,Федеральная исполнительная власть
docs.gisp.gov.ru,,ГИСП Совместная работа с документами,Сайт государственной информационной системы,Минпромторг России,,,Государственная информационная система промышленности,Да,Да,200,,,,,197068,RU,178.248.236.2,Федеральная исполнительная власть
www.gks.ru,gks.ru,,,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
adg.gks.ru,,,Иное,Росстат,Пустая страница,,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
ak.gks.ru,,,Иное,Росстат,Пустая страница,,,Да,Нет,200,,,Не архивируется,,50928,RU,31.173.248.78,Федеральная исполнительная власть
akstat.gks.ru,,Управление Федеральной службы государственной статистики по Алтайскому краю и Республике Алтай,Сайт территориального управления ФОИВ,Росстат,,"Республика Алтай,Алтайский край",,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
amurstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Амурская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
apkrcforum.gks.ru,,,Иное,Росстат,Пустая страница,,,Да,Да,200,,,Не архивируется,,25159,RU,83.229.254.40,Федеральная исполнительная власть
arhangelskstat.gks.ru,,Управление Федеральной службы государственной статистики по Архангельской области и Ненецкому автономному округу,Сайт территориального управления ФОИВ,Росстат,,"Архангельская область,Ненецкий автономный округ",,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
asgs-ofsn.gks.ru,,АС ГС ОФСН,Сайт государственной информационной системы,Росстат,,,АС ГС ОФСН,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
astrastat.gks.ru,,Управление Федеральной службы государственной статистики по Астраханской области и Республике Калмыкия,Сайт территориального управления ФОИВ,Росстат,,"Астраханская область,Республика Калмыкия",,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
bashstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Республике Башкортостан,Сайт территориального управления ФОИВ,Росстат,,Республика Башкортостан,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
belg.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Белгородская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
bi.gks.ru,,BI система Росстата,Сайт государственной информационной системы,Росстат,Неактивен,,,Нет,Нет,,,,,,,,,Федеральная исполнительная власть
bryansk.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Брянская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
burstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Республике Бурятия,Сайт территориального управления ФОИВ,Росстат,,Республика Бурятия,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
cbsd.gks.ru,,ЦБСД Росстата,Сайт государственной информационной системы,Росстат,Пустая страница,,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
chechenstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Чеченской Республике,Сайт территориального управления ФОИВ,Росстат,,Чеченская республика,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
chelstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Челябинской области,Сайт территориального управления ФОИВ,Росстат,,Челябинская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
chita.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Забайкальский край,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
chuvash.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Чувашской Республике,Сайт территориального управления ФОИВ,Росстат,,Чувашская Республика,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
www.chuvash.gks.ru,chuvash.gks.ru,,Сайт территориального управления ФОИВ,Росстат,,Чувашская Республика,,Нет,Нет,,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
crimea.gks.ru,,Управление Федеральной службы государственной статистики по Республике Крым и г.Севастополю,Сайт территориального управления ФОИВ,Росстат,,"Республика Крым,Севастополь",,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
csod.gks.ru,,Централизованная система обработки данных Росстата,Сайт государственной информационной системы,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
dagstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Республике Дагестан,Сайт территориального управления ФОИВ,Росстат,,Республика Дагестан,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
sso.dagstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Республика Дагестан,,Нет,Нет,,,,,,31163,RU,37.29.119.221,Федеральная исполнительная власть
esso.gks.ru,,Сбор статистической отчетности,Сайт государственной информационной системы,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
fois.gks.ru,,Исполнение бюджета Росстата,Сайт государственной информационной системы,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
www.gis.gks.ru,,,Иное,Росстат,Пустая страница,,,Да,Нет,200,,,Не архивируется,,25159,RU,83.229.254.40,Федеральная исполнительная власть
habstat.gks.ru,,"Управление Федеральной службы государственной статистики по Хабаровскому краю, Магаданской области, Еврейской автономной области и Чукотскому автономному округу",Сайт территориального управления ФОИВ,Росстат,,"Магаданская область,Чукотский автономный округ,Еврейская автономная область,Хабаровский край",,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
hakasstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,Пустая страница,,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
ingstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,Пустая страница,,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
irkutskstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Иркутской области,Сайт территориального управления ФОИВ,Росстат,,Иркутская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
ivanovo.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Ивановская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
kaliningrad.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Калининградская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
websbor.kaliningrad.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,Неактивен,Калининградская область,,Нет,Нет,,,,,,31214,RU,83.219.129.74,Федеральная исполнительная власть
kalugastat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Калужской области,Сайт территориального управления ФОИВ,Росстат,,Калужская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
kamstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Камчатский край,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
kbr.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,Пустая страница,,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
web.kchrstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,Запаролено,,,Нет,Нет,,,,,,31163,RU,37.29.116.60,Федеральная исполнительная власть
kemerovostat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Кемеровская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
service.kemerovostat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Кемеровская область,,Да,Да,200,,,,,39927,RU,212.75.217.158,Федеральная исполнительная власть
khmstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,Пустая страница,,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
kirovstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Кировской области,Сайт территориального управления ФОИВ,Росстат,,Кировская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
komi.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Республике Коми,Сайт территориального управления ФОИВ,Росстат,,Республика Коми,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
websbor.komi.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Республика Коми,,Нет,Нет,,,,,,29648,RU,86.109.216.121,Федеральная исполнительная власть
kostroma.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Костромской области,Сайт территориального управления ФОИВ,Росстат,,Костромская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
service.kostroma.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,Пустая страница,Костромская область,,Да,Нет,403,,,,,31213,RU,37.28.164.155,Федеральная исполнительная власть
sso.kostroma.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,Неактивен,Костромская область,,Нет,Нет,,,,,,31213,RU,37.28.164.156,Федеральная исполнительная власть
krasstat.gks.ru,,"Управление Федеральной службы государственной статистики по Красноярскому краю, Республике Хакасия и Республике Тыва",Сайт территориального управления ФОИВ,Росстат,,"Республика Хакасия,Республика Тыва",,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
www.krasstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Красноярский край,,Нет,Нет,,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
web.krasstat.gks.ru,,,Иное,Росстат,,Красноярский край,,Нет,Нет,,,,,,50928,RU,31.173.249.3,Федеральная исполнительная власть
krl.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Республике Карелия,Сайт территориального управления ФОИВ,Росстат,,Республика Карелия,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
krsdstat.gks.ru,,Управление Федеральной службы государственной статистики по Краснодарскому краю и Республике Адыгея,Сайт территориального управления ФОИВ,Росстат,,Краснодарский край,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
kurganstat.gks.ru,,,,Росстат,Пустая страница,Курганская область,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
kurskstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Курской области,,Росстат,,Курская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
lipstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Липецкой области,Сайт территориального управления ФОИВ,Росстат,,Липецкая область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
maristat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Республике Марий Эл,Сайт территориального управления ФОИВ,Росстат,,Республика Марий Эл,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
moscow.gks.ru,,,,Росстат,Неактивен,,,Нет,Нет,,,,,,,,,Федеральная исполнительная власть
mrd.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Республике Мордовия,Сайт территориального управления ФОИВ,Росстат,,Республика Мордовия,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
msko.gks.ru,,,,Росстат,Неактивен,,,Нет,Нет,,,,,,,,,Федеральная исполнительная власть
www.msko.gks.ru,,,,Росстат,Неактивен,,,Нет,Нет,,,,,,,,,Федеральная исполнительная власть
murmanskstat.gks.ru,,Мурманскстат,Сайт территориального управления ФОИВ,Росстат,,Мурманская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
nizhstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Нижегородской области,Сайт территориального управления ФОИВ,Росстат,,Нижегородская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
novgorodstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Новгородской области,Сайт территориального управления ФОИВ,Росстат,,Новгородская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
novosibstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Новосибирской области,Сайт территориального управления ФОИВ,Росстат,,Новосибирская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
obdx.gks.ru,,,Иное,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
omsk.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Омской области,Сайт территориального управления ФОИВ,Росстат,,Омская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
online.gks.ru,,,Сайт государственной информационной системы,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
orel.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Орловская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
orenstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Оренбургская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
otkr.gks.ru,,,,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
permsso.gks.ru,,,,Росстат,,,,Да,Нет,200,,,,,12389,RU,212.120.191.243,Федеральная исполнительная власть
permstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Пермский край,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
petrostat.gks.ru,,Управление Федеральной службы государственной статистики по г.Санкт-Петербургу и Ленинградской области,Сайт территориального управления ФОИВ,Росстат,,"Ленинградская область,Санкт-Петербург",,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
pnz.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Пензенской области,Сайт территориального управления ФОИВ,Росстат,,Пензенская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
primstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Приморскому краю,Сайт территориального управления ФОИВ,Росстат,,Приморский край,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
pskovstat.gks.ru,,Псковстат - Территориальный орган Федеральной службы государственной статистики по Псковской области,Сайт территориального управления ФОИВ,Росстат,,Псковская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
rostov.gks.ru,,Ростовстат (Территориальный орган Федеральной службы государственной статистики по Ростовской области),Сайт территориального управления ФОИВ,Росстат,,Ростовская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
ryazan.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Рязанская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
sakha.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Республике Саха (Якутия),Сайт территориального управления ФОИВ,Росстат,,Республика Саха (Якутия),,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
stat.sakha.gks.ru,,"

	ИАС Саха(Якутия)стата

",Сайт государственной информационной системы,Росстат,,Республика Саха (Якутия),,Да,Нет,200,,,,,42451,RU,77.242.1.144,Федеральная исполнительная власть
sakha-websbor.gks.ru,,,,Росстат,,,,Нет,Нет,,,,,,42451,RU,77.242.1.146,Федеральная исполнительная власть
sakhalinstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Сахалинской области,Сайт территориального управления ФОИВ,Росстат,,Сахалинская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
samarastat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Самарской области,Сайт территориального управления ФОИВ,Росстат,,Самарская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
websbor.samarastat.gks.ru,,,Иное,Росстат,Пустая страница,,,Да,Нет,200,,,,,31133,RU,83.169.202.195,Федеральная исполнительная власть
sdp.gks.ru,,,Иное,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
sevastopol.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,Пустая страница,,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
sml.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Смоленской области,Сайт территориального управления ФОИВ,Росстат,,Смоленская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
srtv.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Саратовской области,Сайт территориального управления ФОИВ,Росстат,,Саратовская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
reginfo.srtv.gks.ru,,,Иное,Росстат,,,,Да,Нет,200,,,,,31133,RU,83.169.202.242,Федеральная исполнительная власть
statra.gks.ru,,,,Росстат,Пустая страница,,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
statreg.gks.ru,,,Иное,Росстат,Пустая страница,,,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
statrk.gks.ru,,,,Росстат,Пустая страница,,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
stavstat.gks.ru,,,,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
sverdl.gks.ru,,Управление Федеральной службы государственной статистики по Свердловской области и Курганской области,Сайт территориального управления ФОИВ,Росстат,,"Курганская область,Свердловская область",,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
tatstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Республике Татарстан,Сайт территориального управления ФОИВ,Росстат,,Республика Татарстан,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
tmb.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Тамбовская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
tmsk.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Томской области,Сайт территориального управления ФОИВ,Росстат,,Томская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
tulastat.gks.ru,,,,Росстат,,Тульская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
www.tulastat.gks.ru,,,,Росстат,,,,Нет,Нет,,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
tumstat.gks.ru,,"Управление Федеральной службы государственной статистики по Тюменской области, Ханты-Мансийскому автономному округу-Югре и Ямало-Ненецкому автономному округу",Сайт территориального управления ФОИВ,Росстат,,"Тюменская область,Ханты-Мансийский автономный округ,Ямало-Ненецкий автономный округ",,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
tuvastat.gks.ru,,,,Росстат,Пустая страница,,,Да,Да,404,,,Не архивируется,,25159,RU,83.229.254.41,Федеральная исполнительная власть
tverstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Тверская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
udmstat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Удмуртской Республике,Сайт территориального управления ФОИВ,Росстат,,Удмуртская республика,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
uln.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Ульяновской области,Сайт территориального управления ФОИВ,Росстат,,Ульяновская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
vladimirstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Владимирская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
volgastat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Волгоградской области,Сайт территориального управления ФОИВ,Росстат,,Волгоградская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
vologdastat.gks.ru,,Территориальный орган Федеральной службы государственной статистики по Вологодской области,Сайт территориального управления ФОИВ,Росстат,,Вологодская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
voronezhstat.gks.ru,,,Сайт территориального управления ФОИВ,Росстат,,Воронежская область,,Да,Да,200,,,,,25159,RU,83.229.254.41,Федеральная исполнительная власть
vpn2010portal.gks.ru,,,,Росстат,Запаролено,,,Да,Да,200,,,Не архивируется,,25159,RU,83.229.254.40,Федеральная исполнительная власть
vpnmicrodata.gks.ru,,,Иное,Росстат,Неактивен,,,Нет,Нет,,,,Не архивируется,,25159,RU,83.229.254.40,Федеральная исполнительная власть
vshp2016.gks.ru,,,,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
websbor.gks.ru,,,Сайт государственной информационной системы,Росстат,,,,Да,Да,200,,,,,25159,RU,83.229.254.40,Федеральная исполнительная власть
